title,platform,fix_date,developer,genre,user_score,category
"Altered Beast",X360,10-06-2009,"Backbone Entertainment","Action, "Beat-Em-Up""",6.7,Good
"Amazing Island",GC,25-08-2004,Hitmaker,"Strategy, Breeding/Constructing",7,Good
"Anarchy Reigns",X360,08-01-2013,PlatinumGames,"Action, "Beat-Em-Up""",8,Good
"Armored Core 4",PS3,20-03-2007,"From Software","Simulation, Sci-Fi, Vehicle, Mech, Mech, Combat",7,Good
"Armored Core 4",X360,20-03-2007,"From Software","Simulation, Sci-Fi, Vehicle, Mech, Mech, Combat",7.5,Good
"Astro Boy",PS2,18-08-2004,"Sonic Team","Action, General",7.4,Good
"Baku Baku",PC,31-08-1996,"Sega AM2","Miscellaneous, Puzzle, Puzzle, General, Puzzle, Matching, General",8,Good
Bayonetta,PS3,05-01-2010,"PlatinumGames,  Nex Entertainment","Action, Action Adventure, "Beat-Em-Up""",7.7,Good
Bayonetta,PS4,18-02-2020,PlatinumGames,"Action Adventure, Linear",7.4,Good
"Beijing 2008 - The Official Video Game of the Olympic Games",X360,08-07-2008,"Eurocom Entertainment Software,  Eurocom","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",6.5,Good
"Binary Domain",PC,27-04-2012,"Devils Details","Action, Action Adventure, Sci-Fi, Sci-Fi, General, Shooter, Third-Person, Tactical, Arcade",7.8,Good
"Bleach: Dark Souls",DS,07-10-2008,Treasure,"Action, Fighting, Fighting, 2D, 2D",7.8,Good
"Bleach: Shattered Blade",WII,09-10-2007,"Polygon Magic","Action, Fighting, Fighting, 3D, 3D",7.3,Good
"Bleach: The 3rd Phantom",DS,15-09-2009,"Sega,  Tom Create","Strategy, Turn-Based, Fantasy, General, Fantasy",7.6,Good
"Bleach: The Blade of Fate",DS,09-10-2007,Treasure,"Action, Fighting, Fighting, 2D, 2D",7.4,Good
Bug!,PC,31-08-1996,"Beam Software","Action, Platformer, Platformer, 3D, 3D",7.3,Good
"Captain America: Super Soldier",3DS,25-10-2011,"High Voltage Software","Action, Action Adventure, General, General",6.5,Good
"Captain America: Super Soldier",PS3,19-07-2011,"Next Level Games","Action, Action Adventure, General, General",7.4,Good
"Captain America: Super Soldier",WII,19-07-2011,"High Voltage Software","Action, Action Adventure, General, General",7.2,Good
"Captain America: Super Soldier",X360,19-07-2011,"Next Level Games","Action, Action Adventure, General, General",6.7,Good
"Catherine Classic",PC,10-01-2019,Atlus,"Action Adventure, Survival",7.7,Good
Chromehounds,X360,11-07-2006,"From Software","Simulation, Sci-Fi, Vehicle, Mech, Mech, Combat",6.9,Good
"ChuChu Rocket!",GBA,10-06-2001,"Sonic Team","Miscellaneous, Puzzle, General",7.2,Good
"Citizens of Space",PS4,18-06-2019,Sega,"Role-Playing, Japanese-Style",6.7,Good
"Comix Zone",PS3,23-08-2011,"Backbone Entertainment","Action, "Beat-Em-Up""",7.9,Good
"Company of Heroes 2: Ardennes Assault",PC,17-11-2014,"Relic,  Sega,  Relic Entertainment","Strategy, Real-Time, General, Historic",6.3,Good
"Company of Heroes 2: The British Forces",PC,02-09-2015,"Relic,  Relic Entertainment","Strategy, Real-Time, General",6.3,Good
"Company of Heroes 2: The Western Front Armies",PC,23-06-2014,"Relic,  Relic Entertainment","Strategy, Real-Time, General, Historic",6.9,Good
"Condemned 2: Bloodshot",PS3,18-03-2008,"Monolith Productions","Action Adventure, Horror, Horror, Survival",7.9,Good
"Condemned: Criminal Origins",PC,11-04-2006,"Monolith Productions","Action Adventure, Horror, Horror, Survival",7.7,Good
"Conduit 2",WII,19-04-2011,"High Voltage Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",7.7,Good
"Crazy Taxi","Dreamcast Collection)",04-03-2011,Sega,"Driving, Racing, Arcade, Arcade, Automobile",7.8,Good
"Crazy Taxi",iOS,11-10-2012,Sega,"Driving, Racing, General, Arcade, Automobile",7.6,Good
"Crazy Taxi",PS3,16-11-2010,Hitmaker,"Driving, Racing, Arcade, Arcade, Automobile",7.4,Good
"Crazy Taxi",X360,24-11-2010,Hitmaker,"Driving, Racing, Arcade, Arcade, Automobile",7.2,Good
"Crazy Taxi 3: High Roller",XBOX,24-07-2002,Hitmaker,"Driving, Mission-based",8,Good
"Crazy Taxi: City Rush",iOS,31-07-2014,"Hardlight Studio","Driving, Racing, General, Arcade, Automobile",6.8,Good
"Crazy Taxi: Fare Wars",PSP,07-08-2007,Sega,"Miscellaneous, Driving, Mission-based, Compilation",7,Good
CRUSH3D,3DS,06-03-2012,"Zoe Mode","Action, Platformer, Platformer, 3D, 3D",7.4,Good
D2,DC,22-08-2000,WARP,"Action Adventure, Horror",8,Good
"Daytona USA",PS3,25-10-2011,"Sega AM2","Driving, Racing, Arcade, Arcade, Automobile",6.9,Good
"Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles",PC,15-10-2021,CyberConnect2,"Action, Fighting, 3D",7.3,Good
"Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles",PS4,15-10-2021,CyberConnect2,"Action, Fighting, 3D",6.9,Good
"Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles",Switch,10-06-2022,CyberConnect2,"Action, Fighting, 3D",6.6,Good
"Dengeki Bunko: Fighting Climax",PS3,06-10-2015,"Sega,  French-Bread","Action, Fighting, 2D",8,Good
"Dinosaur King",DS,23-09-2008,"Climax Entertainment","Role-Playing, Strategy, General, General, General",7.9,Good
"Disney Castle of Illusion starring Mickey Mouse",iOS,21-11-2013,Sega,"Action, Platformer, Platformer, 2D, 2D",7.1,Good
"Disney Castle of Illusion starring Mickey Mouse",PC,04-09-2013,Sega,"Platformer, 2D, Action, Platformer, 2D",6.9,Good
"Disney Castle of Illusion starring Mickey Mouse",PS3,03-09-2013,Sega,"Action, Platformer, Platformer, 2D, 2D",7.3,Good
"Disney Castle of Illusion starring Mickey Mouse",X360,04-09-2013,Sega,"Action, Platformer, Platformer, 2D, 2D",7,Good
"Dr. Robotnik's Mean Bean Machine",PC,13-09-2010,Sega,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",7.8,Good
"Dreamcast Collection",PC,22-02-2011,Sega,"Miscellaneous, Compilation, Compilation",7.4,Good
"Eastside Hockey Manager",PC,26-03-2015,"Sports Interactive","Sports, Team, Ice Hockey, Sim",7.5,Good
"Ecco the Dolphin",X360,15-08-2007,"Backbone Entertainment","Action, General, Platformer, Platformer, 2D, 2D",8,Good
"Empire: Total War",PC,03-03-2009,"Creative Assembly","Strategy, Real-Time, Historic, General, Historic",7,Good
"Endless Space 2",PC,19-05-2017,"Amplitude Studios","Strategy, Turn-Based, 4X",7.8,Good
"Endless Space 2: Supremacy",PC,02-08-2018,"Amplitude Studios","Strategy, Turn-Based, 4X",7.7,Good
"ESPN College Hoops",XBOX,13-11-2003,"Visual Concepts","Sports, Traditional, Basketball, Sim",6.6,Good
"ESPN College Hoops 2K5",XBOX,17-11-2004,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.8,Good
"ESPN Major League Baseball",XBOX,06-04-2004,"Blue Shift","Sports, Traditional, Baseball, Sim",7.4,Good
"ESPN NBA 2K5",PS2,30-09-2004,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.5,Good
"ESPN NBA 2K5",XBOX,28-09-2004,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.9,Good
"ESPN NBA Basketball",XBOX,22-10-2003,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.6,Good
"ESPN NFL Football",XBOX,03-09-2003,"Visual Concepts","Sports, Traditional, Football, Sim",7.8,Good
