title,platform,fix_date,developer,genre,user_score,category
"Panzer Dragoon",Switch,26-03-2020,"Forever Entertainment,  MegaPixel Studio","Action, Shooter, Rail",7.5,Good
"Panzer Dragoon",XONE,11-12-2020,"Forever Entertainment,  MegaPixel Studio","Action, Shooter, Rail",6.3,Good
"Persona 3 Portable",PS4,19-01-2023,Atlus,"Role-Playing, Japanese-Style",6.7,Good
"Persona 3 Portable",Switch,19-01-2023,Atlus,"Role-Playing, Japanese-Style",6.7,Good
"Persona 3 Portable",XONE,19-01-2023,Atlus,"Role-Playing, Japanese-Style",6.1,Good
"Persona 5 Royal",XONE,21-10-2022,Atlus,"Role-Playing, Japanese-Style",8,Good
"Persona 5 Strikers",PS4,19-02-2021,"Omega Force","Role-Playing, Action RPG",8,Good
"Phantasy Star II",X360,10-06-2009,"Backbone Entertainment","Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",6.6,Good
"Phantasy Star III: Generations of Doom",PC,02-05-2012,Sega,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",6.5,Good
"Phantasy Star III: Generations of Doom",WII,21-04-2008,Sega,"Role-Playing, Console-style RPG",7.8,Good
"Phantasy Star Online 2: New Genesis",PS4,31-08-2022,Sega,"Role-Playing, Massively Multiplayer",6.8,Good
"Phantasy Star Portable",PSP,03-03-2009,"Alfa System","Role-Playing, Action RPG, Action RPG",7.8,Good
"Phantasy Star Universe",PC,24-10-2006,"Sonic Team","Role-Playing, Action RPG, Action RPG",6.6,Good
"Phantasy Star Universe",X360,25-10-2006,"Sonic Team","Role-Playing, Action RPG, Action RPG",7.5,Good
"Phantasy Star Universe: Ambition of the Illuminus",PC,21-11-2007,Sega,"Role-Playing, General, Action RPG",7.8,Good
"Phantasy Star Universe: Ambition of the Illuminus",PS2,20-11-2007,"Sonic Team","Role-Playing, General",7.7,Good
"Phantasy Star Universe: Ambition of the Illuminus",X360,20-11-2007,Sega,"Role-Playing, General, Action RPG",7.4,Good
"Phantasy Star Zero",DS,10-11-2009,"Sonic Team","Role-Playing, Action RPG, Action RPG",7.8,Good
"Puyo Puyo Champions",Switch,07-05-2019,Sega,"Puzzle, Matching",6.3,Good
"Puyo Puyo Tetris",PC,27-02-2018,"Sega,  Sonic Team","Puzzle, Stacking",6.4,Good
"Puyo Puyo Tetris",PS4,25-04-2017,"Sega,  Sonic Team","Puzzle, Stacking",7.5,Good
"Puyo Puyo Tetris 2",PS4,08-12-2020,Sega,"Puzzle, Matching",6.6,Good
"Puyo Puyo Tetris 2",XONE,08-12-2020,Sega,"Puzzle, Matching",7.6,Good
"Renegade Ops",PC,26-10-2011,"Avalanche Studios","Action, General, General, Shooter, "Shoot-Em-Up""",7.3,Good
"Renegade Ops",PS3,13-09-2011,"Avalanche Studios","Action, General, General, Shooter, "Shoot-Em-Up""",7.1,Good
"Renegade Ops",X360,14-09-2011,"Avalanche Studios","Action, General, General, Shooter, "Shoot-Em-Up""",7.7,Good
"Resonance of Fate",PS3,16-03-2010,Tri-Ace,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",8,Good
"Resonance of Fate",X360,16-03-2010,Tri-Ace,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",7.7,Good
"Rise of Nightmares",X360,06-09-2011,Sega,"Action Adventure, Horror, Horror, Survival",7.7,Good
"Rock of Ages 2: Bigger & Boulder",Switch,14-05-2019,"ACE Team","Action, General",8,Good
"Rome: Total War Alexander",PC,19-06-2006,"Creative Assembly","Strategy, Real-Time, Historic, General, Historic",7.6,Good
"Sakura Wars",PS4,28-04-2020,Sega,"Strategy, Turn-Based, Tactics, Action, "Beat-Em-Up""",7.7,Good
"Samurai Jack: The Shadow of Aku",GC,24-03-2004,Adrenium,"Action, General",6.2,Good
"Sands of Destruction",DS,12-01-2010,"Image Epoch,  Imageepoch","Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",7.9,Good
"Sega 3D Classics Collection",3DS,26-04-2016,M2,"Miscellaneous, Compilation",7.6,Good
"Sega Ages - Lightening Force: Quest for the Darkstar",Switch,20-09-2018,"M2,  TechnoSoft","Action, Shooter, "Shoot-Em-Up""",7,Good
"Sega Ages: G-LOC Air Battle",Switch,30-04-2020,"M2,  Sanritsu","Simulation, Flight, Combat",7.4,Good
"Sega Ages: OutRun",Switch,10-01-2019,"Sega,  M2","Racing, Arcade, Automobile",7.9,Good
"Sega Ages: Puyo Puyo",Switch,22-08-2019,M2,"Puzzle, Matching",7.8,Good
"Sega Ages: Puyo Puyo 2",Switch,20-02-2020,"M2,  Compile","Puzzle, Matching",7.8,Good
"Sega Ages: Sonic the Hedgehog 2",Switch,20-02-2020,"Sonic Team,  M2","Action, Platformer, 2D",7.9,Good
"Sega Ages: Virtua Racing",Switch,27-06-2019,"Sega AM2,  M2","Racing, Arcade, Automobile",7.9,Good
"Sega Ages: Wonder Boy in Monster Land",Switch,27-06-2019,"Sega,  M2","Action Adventure, General",7.4,Good
"Sega Bass Fishing","Dreamcast Collection)",04-03-2011,Sega,"Sports, Individual, Nature, Fishing, Fishing",6.7,Good
"Sega Bass Fishing",PC,19-06-2001,Sega,"Sports, Individual, Nature, Fishing, Fishing",6.6,Good
"Sega Classics Collection",PS2,22-03-2005,Sega,"Miscellaneous, Compilation",6.3,Good
"Sega Genesis Classics",PS4,29-05-2018,"Various,  D3T Limited","Miscellaneous, Compilation",7.4,Good
"Sega Genesis Classics",XONE,29-05-2018,"Various,  D3T Limited","Miscellaneous, Compilation",7.9,Good
"Sega GT",DC,29-08-2000,TOSE,"Driving, Racing, GT / Street",8,Good
"Sega GT 2002",XBOX,02-09-2002,"Wow Entertainment","Driving, Racing, GT / Street",7.9,Good
"Sega GT Online",XBOX,27-01-2004,"Wow Entertainment","Driving, Racing, GT / Street",7.7,Good
"SEGA Heroes",iOS,15-11-2018,"Demiurge Studios","Role-Playing, General",6.8,Good
"Sega Marine Fishing",DC,20-08-2000,Sega,"Sports, Nature, Fishing",7.3,Good
"SEGA Mega Drive and Genesis Classics",PC,30-05-2018,Various,"Miscellaneous, Compilation",7.8,Good
"SEGA Rally Online Arcade",PS3,01-06-2011,"Sumo Digital","Driving, Racing, Arcade, Arcade, Automobile",7.5,Good
"Sega Rally Revo",PC,19-11-2007,"SEGA Racing Studio","Driving, Racing, Arcade, Rally / Offroad, Rally / Offroad, Automobile",7.5,Good
"Sega Rally Revo",PS3,09-10-2007,"SEGA Racing Studio","Driving, Racing, Arcade, Rally / Offroad, Rally / Offroad, Automobile",7.2,Good
"Sega Rally Revo",PSP,09-10-2007,Bugbear,"Driving, Racing, Arcade, Rally / Offroad, Rally / Offroad, Automobile",7.4,Good
"Sega Rally Revo",X360,09-10-2007,"SEGA Racing Studio","Driving, Racing, Arcade, Rally / Offroad, Rally / Offroad, Automobile",7.3,Good
"Sega Smash Pack Volume 1",DC,31-01-2001,Sega,"Miscellaneous, Compilation",7.5,Good
"Sega Soccer Slam",GC,18-03-2002,"Black Box","Sports, Traditional, Soccer, Arcade",7.8,Good
"Sega SuperStars",PS2,03-11-2004,"Sonic Team","Miscellaneous, Party",7,Good
"Sega Superstars Tennis",DS,18-03-2008,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",8,Good
"Sega Superstars Tennis",PS3,18-03-2008,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",7.6,Good
"Sega Superstars Tennis",WII,18-03-2008,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",7,Good
"Sega Superstars Tennis",X360,18-03-2008,"Sumo Digital","Sports, Traditional, Individual, Tennis, Tennis",7.2,Good
"Sega Vintage Collection: Golden Axe",X360,30-05-2012,M2,"Miscellaneous, Compilation, Compilation",7.9,Good
"Sega Vintage Collection: Monster World",X360,23-05-2012,M2,"Action, Miscellaneous, Platformer, Compilation, Compilation, 2D",8,Good
"Sega Vintage Collection: ToeJam & Earl",X360,07-11-2012,M2,"Action, Miscellaneous, Platformer, Compilation, 2D",7.1,Good
"Shadow the Hedgehog",GC,15-11-2005,"Sonic Team","Action, Platformer, 3D",6.4,Good
"Shenmue I & II",PC,21-08-2018,"Sega,  d3t Ltd","Miscellaneous, Compilation",7.9,Good
"Shenmue I & II",XONE,21-08-2018,"Sega,  d3t Ltd","Miscellaneous, Compilation",7.8,Good
"Shin Megami Tensei III: Nocturne HD Remaster",PC,25-05-2021,Atlus,"Role-Playing, Japanese-Style",7.5,Good
"Shin Megami Tensei III: Nocturne HD Remaster",PS4,24-05-2021,"Atlus Co.,  Atlus","Role-Playing, Japanese-Style",7.7,Good
"Shin Megami Tensei Liberation Dx2",iOS,24-07-2018,"SegaSoft,  Sega","Role-Playing, Japanese-Style",6.9,Good
"Shining Force",iOS,23-07-2010,Sega,"Role-Playing, Strategy, Turn-Based, General, Fantasy, Fantasy, Tactics",7.3,Good
"Shining Force EXA",PS2,20-03-2007,Neverland,"Role-Playing, Action RPG",7.8,Good
"Shining Resonance Refrain",PC,09-07-2018,Sega,"Role-Playing, Action RPG",7.7,Good
"Shining Resonance Refrain",PS4,10-07-2018,Sega,"Role-Playing, Action RPG",7.2,Good
"Shining Resonance Refrain",Switch,10-07-2018,Sega,"Role-Playing, Action RPG",7.9,Good
"Shining Tears",PS2,22-03-2005,"Nex Entertainment","Role-Playing, Action RPG",6.6,Good
Shinobi,3DS,15-11-2011,"Griptonite Games","Action, General, Platformer, Platformer, 2D, 2D",7.3,Good
Shinobi,X360,10-06-2009,"Backbone Entertainment","Action, General, Platformer, 2D",7.5,Good
"Shinobi III: Return of the Ninja Master",iOS,25-01-2011,"Sega,  Smashing Studios","Action, General, Platformer, 2D",7.6,Good
"Sonic & All-Stars Racing Transformed",iOS,02-01-2014,"Sumo Digital","Driving, Racing, Arcade, Other, Kart, Automobile",7.1,Good
"Sonic & All-Stars Racing Transformed",PS3,18-11-2012,"Sumo Digital","Driving, Racing, Arcade, Kart, Other, Kart, Automobile",8,Good
"Sonic & All-Stars Racing Transformed",VITA,18-12-2012,"Sumo Digital","Driving, Racing, Arcade, Kart, Other, Kart, Automobile",7.8,Good
"Sonic & SEGA All-Stars Racing",iOS,23-06-2011,"Sumo Digital","Miscellaneous, Driving, Racing, Edutainment, Arcade, Kart, Kart, Automobile",8,Good
"Sonic & Sega All-Stars Racing with Banjo-Kazooie",X360,23-02-2010,"Sumo Digital","Driving, Racing, Arcade, Kart, Kart, Automobile",7.8,Good
"Sonic 3D Blast",Genesis),01-06-2010,Sega,"Action, Platformer, Platformer, 3D, 3D",6.3,Good
"Sonic 3D Blast",PC,30-09-1997,""Travellers Tales"""","Action, Platformer, Platformer, 3D, 3D",6.1,Good
"Sonic 3D Blast",WII,19-11-2007,Sega,"Action, Platformer, 3D",6.5,Good
"Sonic Advance",GBA,03-02-2002,"Sonic Team","Action, Platformer, 2D",7.9,Good
"Sonic Advance 2",GBA,09-03-2003,"Dimps Corporation","Action, Platformer, 2D",7.8,Good
"Sonic Adventure",PS3,21-09-2010,"Sonic Team","Action, Platformer, Platformer, 3D, 3D",7.5,Good
"Sonic Adventure",X360,15-09-2010,"Sonic Team","Action, Platformer, Platformer, 3D, 3D",7.8,Good
"Sonic Adventure 2",X360,05-10-2012,"Sega,  Sonic Team","Action, Platformer, Platformer, 3D, 3D",8,Good
"Sonic Adventure 2: Battle Mode",PS3,02-10-2012,"Sonic Team","Action, Platformer, Platformer, 3D, 3D",7.4,Good
"Sonic Adventure DX Director's Cut",2011),04-03-2011,"Sega,  Sonic Team","Action, Platformer, Platformer, 3D, 3D",7.8,Good
"Sonic Adventure DX Director's Cut",GC,18-06-2003,"Sonic Team","Action, Platformer, 3D",7.9,Good
"Sonic and the Black Knight",WII,03-03-2009,"Sonic Team","Action, Adventure, Platformer, Fantasy, Third-Person, Fantasy, 3D",7.1,Good
"Sonic and the Secret Rings",WII,20-02-2007,"Sonic Team","Action, Platformer, Platformer, 3D, 3D",6.2,Good
"Sonic at the Olympic Games",iOS,07-05-2020,Sega,"Sports, Individual, Athletics",6.5,Good
"Sonic Boom: Fire & Ice",3DS,27-09-2016,"Sanzaru Games","Action, Platformer, 2D, 3D",7.2,Good
"Sonic Boom: Shattered Crystal",3DS,11-11-2014,"Sanzaru Games","Action, General, Platformer, 2D",6.1,Good
"Sonic CD",PS3,20-12-2011,Sega,"Action, Platformer, Platformer, 2D, 2D",7.6,Good
"Sonic Chaos",WII,02-02-2009,Sega,"Action, Platformer, 2D",6.8,Good
"Sonic Chronicles: The Dark Brotherhood",DS,30-09-2008,BioWare,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",6.9,Good
"Sonic Classic Collection",DS,02-03-2010,"Creative Assembly","Action, Miscellaneous, Platformer, Compilation, Compilation, 2D",7.7,Good
"Sonic Colors: Ultimate",PS4,07-09-2021,"Sega,  Blind Squirrel Entertainment","Action, Platformer, 2D, 3D",6.5,Good
"Sonic Colors: Ultimate",XONE,07-09-2021,"Sega,  Blind Squirrel Entertainment","Action, Platformer, 2D, 3D",6.8,Good
"Sonic Dash",iOS,07-03-2013,"Hardlight Studio","Action, Platformer, Platformer, 2D, 3D, 3D",7.4,Good
"Sonic Dash",PC,03-12-2014,"Hardlight Studio","Action, Platformer, 3D",6.7,Good
"Sonic Dash 2: Sonic Boom",iOS,08-10-2015,"Hardlight Studio","Action, Platformer, 3D",6.5,Good
"Sonic Forces",PS4,07-11-2017,"SegaSoft,  Sonic Team","Action, Action Adventure, General, Platformer, 3D",6.3,Good
"Sonic Forces",Switch,07-11-2017,"Sonic Team","Action, Action Adventure, General, Platformer, 3D",6.6,Good
"Sonic Forces",XONE,07-11-2017,"SegaSoft,  Sonic Team","Action, Action Adventure, General, Platformer, 3D",6.9,Good
"Sonic Forces: Episode Shadow",PC,07-11-2017,"Sonic Team","Action, Action Adventure, General, Platformer, 3D",7.5,Good
"Sonic Forces: Episode Shadow",PS4,07-11-2017,"Sonic Team","Action, Action Adventure, General, Platformer, 3D",7,Good
"Sonic Forces: Episode Shadow",Switch,07-11-2017,"Sonic Team","Action, Action Adventure, General, Platformer, 3D",6.7,Good
"Sonic Forces: Episode Shadow",XONE,07-11-2017,"Sonic Team","Action, Action Adventure, General, Platformer, 3D",7.9,Good
"Sonic Forces: Speed Battle",iOS,01-11-2017,"Sega,  Hardlight Studio","Action, Racing, Platformer, Arcade, Other, 3D",7.6,Good
"Sonic Generations",3DS,22-11-2011,"Sega,  Dimps Corporation","Action, Platformer, Platformer, 3D, 3D",6.8,Good
"Sonic Heroes",GC,05-01-2004,"Sonic Team","Action, Platformer, 3D",7.9,Good
"Sonic Heroes",PC,17-11-2004,"Sonic Team","Action, Platformer, Platformer, 3D, 3D",7.4,Good
"Sonic Heroes",PS2,27-01-2004,"Sonic Team","Action, Platformer, 3D",7.4,Good
"Sonic Heroes",XBOX,27-01-2004,"Sonic Team","Action, Platformer, 3D",7.9,Good
"Sonic Jump",iOS,18-10-2012,"Sega,  Hardlight Studio","Action, General, Platformer, 2D",7.6,Good
"Sonic Jump Fever",iOS,10-07-2014,Sega,"Action, Platformer, 2D",7.2,Good
"Sonic Mania: Encore Pack",PS4,18-07-2018,Sega,"Action, Platformer, 2D",6.1,Good
"Sonic Origins",Switch,23-06-2022,Sega,"Miscellaneous, Compilation",6.8,Good
"Sonic Origins Plus",Switch,23-06-2023,Sega,"Miscellaneous, Compilation",6.4,Good
"Sonic Pinball Party",GBA,01-06-2003,"Sonic Team","Miscellaneous, Parlor, Pinball",6.9,Good
"Sonic Riders",PS2,21-02-2006,"Sonic Team","Driving, Racing, Arcade",7.7,Good
"Sonic Riders: Zero Gravity",WII,08-01-2008,"Sonic Team","Driving, Racing, Arcade, Arcade, Other, Automobile",8,Good
"Sonic Rivals",PSP,16-11-2006,"Backbone Entertainment","Driving, Racing, Arcade, On-foot, Other, On-foot",7.7,Good
"Sonic Rivals 2",PSP,13-11-2007,"Backbone Entertainment","Driving, Racing, Arcade, On-foot, Other, On-foot",8,Good
"Sonic Runners",iOS,24-06-2015,"Sonic Team","Action, Platformer, 2D",7.1,Good
"Sonic Shuffle",DC,13-11-2000,Sega,"Adventure, Party",7.4,Good
"Sonic Spinball",iOS,16-12-2010,Sega,"Action, Puzzle, General, General, Pinball",6.3,Good
"Sonic Spinball",WII,12-03-2007,Sega,"Miscellaneous, Parlor, Pinball",7.2,Good
"Sonic the Fighters",X360,28-11-2012,"Sega AM2","Action, Fighting, Fighting, 3D, 3D",6.8,Good
"Sonic the Hedgehog",iOS,18-12-2007,Sega,"Action, Platformer, Platformer, 2D, 2D, 3D",8,Good
"Sonic the Hedgehog","Master System)",04-08-2008,Sega,"Action, Platformer, 2D",8,Good
"Sonic the Hedgehog 2","Master System)",08-12-2008,Sega,"Action, Platformer, 2D",7,Good
"Sonic the Hedgehog 4: Episode I",WII,11-10-2010,"Sonic Team","Action, General, Platformer, Platformer, 2D, 2D",6.4,Good
"Sonic the Hedgehog 4: Episode II",iOS,17-05-2012,Sega,"Action, Platformer, Platformer, 2D, 2D",6.7,Good
"Sonic the Hedgehog 4: Episode II",PC,15-05-2012,TOSE,"Action, Platformer, Platformer, 2D, 2D",6.6,Good
"Sonic the Hedgehog 4: Episode II",PS3,15-05-2012,"Dimps Corporation","Action, Platformer, Platformer, 2D, 2D",6.5,Good
"Sonic the Hedgehog 4: Episode II",X360,16-05-2012,Sega,"Action, Platformer, Platformer, 2D, 2D",6.7,Good
"Sonic the Hedgehog Spinball",PC,13-09-2010,Sega,"Action, Miscellaneous, Puzzle, Puzzle, General, Puzzle, Pinball, General",6.1,Good
"Sonic Unleashed",PS2,18-11-2008,"Sonic Team","Action, General",7.2,Good
"Sonic Unleashed",WII,18-11-2008,"Sonic Team","Action, Platformer, Platformer, 3D, 2D, 3D",7.3,Good
"Sonic: Lost World",3DS,29-10-2013,"Dimps Corporation","Action, Platformer, Platformer, 3D, 3D",6.2,Good
"Sonic: Lost World",PC,02-11-2015,"Dimps Corporation","Action, Platformer, 3D",6.6,Good
"Sonic: Lost World",WIIU,29-10-2013,"Sonic Team","Action, Platformer, Platformer, 3D, 3D",7.2,Good
"Sonic's Ultimate Genesis Collection",PS3,10-02-2009,"Backbone Entertainment","Miscellaneous, Compilation, Compilation",7.9,Good
"Sonic's Ultimate Genesis Collection",X360,10-02-2009,"Backbone Entertainment","Miscellaneous, Compilation, Compilation",7.8,Good
"Space Channel 5 Part 2",X360,05-10-2011,UGA,"Action, Miscellaneous, Rhythm, Dancing, Dancing",7.9,Good
"Space Channel 5: Part 2",PC,04-03-2011,Sega,"Action, Miscellaneous, Rhythm, Dancing, Dancing",7.2,Good
"Space Siege",PC,12-08-2008,"Gas Powered Games","Role-Playing, Action RPG, Action RPG",6.2,Good
"Spikeout: Battle Street",XBOX,29-03-2005,"Dimps Corporation","Action, "Beat-Em-Up"""",6.6,Good
"Spiral Knights",PC,04-04-2011,"Three Rings","Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",7.3,Good
Stormrise,X360,24-03-2009,"Creative Assembly","Strategy, Real-Time, Sci-Fi, Sci-Fi, General",6.6,Good
"Streets of Rage 3",PC,02-05-2012,Sega,"Action, "Beat-Em-Up""",7.1,Good
"Super Monkey Ball",GC,17-11-2001,"Amusement Vision","Miscellaneous, Party",8,Good
"Super Monkey Ball Adventure",GC,01-08-2006,"TT Games","Action, Platformer, 3D",7.1,Good
"Super Monkey Ball Adventure",PS2,01-08-2006,"TT Games","Action, Platformer, 3D",6.7,Good
"Super Monkey Ball Adventure",PSP,29-08-2006,"TT Games","Action, Platformer, Platformer, 3D, 3D",6.4,Good
"Super Monkey Ball Deluxe",PS2,15-03-2005,Sega,"Miscellaneous, Party",7.8,Good
"Super Monkey Ball Deluxe",XBOX,15-03-2005,Sega,"Miscellaneous, Party",7.8,Good
"Super Monkey Ball: Banana Mania",PC,05-10-2021,Sega,"Miscellaneous, Compilation",6.5,Good
"Super Monkey Ball: Banana Mania",Switch,05-10-2021,Sega,"Party / Minigame, Miscellaneous, Compilation",7.3,Good
"Super Monkey Ball: Banana Mania",XONE,02-10-2021,Sega,"Miscellaneous, Compilation",7,Good
"Super Monkey Ball: Banana Splitz",VITA,23-10-2012,"Marvelous AQL","Miscellaneous, Party, Party, Party / Minigame",7.3,Good
"Super Monkey Ball: Step & Roll",WII,09-02-2010,Sega,"Action, General, General",6.8,Good
"Super Monkey Ball: Touch & Roll",DS,21-02-2006,Sega,"Miscellaneous, Party, Party, Party / Minigame",7.7,Good
"Taito Legends",PS2,25-10-2005,"Empire Oxford","Miscellaneous, Compilation",7.9,Good
"Team Sonic Racing",PC,21-05-2019,"Sumo Digital","Racing, Arcade, Automobile",7.2,Good
"Team Sonic Racing",PS4,21-05-2019,"Sumo Digital","Racing, Arcade, Automobile",7.2,Good
"Team Sonic Racing",Switch,21-05-2019,"Sumo Digital","Racing, Arcade, Automobile",7.2,Good
"Team Sonic Racing",XONE,21-05-2019,"Sumo Digital","Racing, Arcade, Automobile",7.5,Good
"Tembo the Badass Elephant",PC,21-07-2015,"Game Freak","Action Adventure, General",7.3,Good
"Tembo the Badass Elephant",PS4,21-07-2015,"Game Freak","Action Adventure, General",6.7,Good
"Tembo the Badass Elephant",XONE,21-07-2015,"Game Freak","Action Adventure, General",6.8,Good
"Tenchu: Fatal Shadows",PS2,15-02-2005,"K2 LLC","Action Adventure, Fantasy",7.8,Good
"Tennis 2K2",DC,24-10-2001,Hitmaker,"Sports, Traditional, Tennis",8,Good
"The Cave",2013),23-01-2013,"Double Fine Productions","Action, Platformer, Platformer, 2D, 2D",7.6,Good
"The Cave",iOS,03-10-2013,"Double Fine Productions","Action, General, Platformer, 2D",6.8,Good
"The Cave",PS3,22-01-2013,"Double Fine Productions","Action, Platformer, Platformer, 2D, 2D",7.6,Good
"The Cave",WIIU,22-01-2013,"Double Fine Productions","Action, Platformer, Platformer, 2D, 2D",7.3,Good
"The Cave",X360,23-01-2013,"Double Fine Productions","Action, Platformer, Platformer, 2D, 2D",7.7,Good
"The Club",PS3,19-02-2008,"Bizarre Creations","Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade",6.5,Good
"The Club",X360,19-02-2008,"Bizarre Creations","Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade",6.8,Good
"The Golden Compass",WII,04-12-2007,"Shiny Entertainment","Action Adventure, Fantasy, General, Fantasy",6.4,Good
"The House of the Dead 2 & 3 Return",WII,11-03-2008,Sega,"Action, Miscellaneous, Shooter, Compilation, Light Gun",7.6,Good
"The House of the Dead 4",PS3,17-04-2012,Sega,"Action, Shooter, Shooter, Light Gun, Light Gun",7.7,Good
"The House of the Dead III",PS3,14-02-2012,"Wow Entertainment","Action, Shooter, Shooter, Rail, Light Gun",7.1,Good
"The House of the Dead III",XBOX,24-10-2002,"Wow Entertainment","Action, Shooter, Rail",7.3,Good
"The House of the Dead: Overkill - Extended Cut",PS3,25-10-2011,"Headstrong Games","Action, Shooter, Shooter, Light Gun, Light Gun",7.6,Good
"The Incredible Hulk",PS2,05-06-2008,"Edge of Reality","Action, General",6.3,Good
"The Incredible Hulk",PS3,05-06-2008,"Edge of Reality","Action, Action Adventure, General, General",7.3,Good
"The Incredible Hulk",X360,05-06-2008,"Edge of Reality","Action, Action Adventure, General, General",6.7,Good
"The Pinball of the Dead",GBA,16-06-2002,Sega,"Miscellaneous, Parlor, Pinball",7.3,Good
"The Revenge of Shinobi",PS3,22-05-2012,M2,"Action, Platformer, Platformer, 2D, 2D",7.3,Good
"The Rub Rabbits!",DS,13-02-2006,"Sonic Team","Miscellaneous, Puzzle, Puzzle, General, Puzzle, Party / Minigame, General",7.7,Good
"The Tower SP",GBA,21-03-2006,Vivarium,"Miscellaneous, Virtual Life",7.8,Good
"The Typing of the Dead",DC,23-01-2001,Smilebit,"Action, General",7.6,Good
"The Typing of the Dead",PC,23-09-2001,Sega,"Action, Shooter, Shooter, Light Gun, Light Gun",7.7,Good
"The Typing of the Dead: Overkill",PC,29-10-2013,"Modern Dream","Action, General, General, Arcade",7.5,Good
"The Yakuza Remastered Collection",PS4,20-08-2019,"Ryu ga Gotoku Studios","Miscellaneous, Compilation",7.8,Good
"Thor: God of Thunder",DS,03-05-2011,WayForward,"Action, General, General, "Beat-Em-Up""",8,Good
"Thor: God of Thunder",WII,03-05-2011,"Red Fly Studio","Action, General, General, "Beat-Em-Up""",7.6,Good
"ToeJam & Earl",PS3,06-11-2012,M2,"Action, General, General",7.1,Good
"ToeJam & Earl",WII,25-12-2006,"ToeJam & Earl Productions","Action, General",7.3,Good
"ToeJam & Earl III: Mission to Earth",XBOX,23-10-2002,"ToeJam & Earl Productions","Action Adventure, Fantasy",6.9,Good
"ToeJam & Earl in Panic on Funkotron",WII,04-06-2007,"ToeJam & Earl Productions","Action, Platformer, 2D",6.8,Good
"Total War Battles: SHOGUN",PC,29-08-2012,Sega,"Action, General, General",6.3,Good
"Total War: Attila",PC,17-02-2015,"Creative Assembly","Strategy, Real-Time, General, Historic",7.4,Good
"Total War: Rome II - Daughters of Mars",PC,14-08-2014,"Creative Assembly","Strategy, Real-Time, General, Historic",7.5,Good
"Total War: Rome II - Emperor Edition",PC,16-09-2014,"Creative Assembly","Strategy, Real-Time, General, Historic",7.3,Good
"Total War: Three Kingdoms",PC,23-05-2019,"Creative Assembly","Strategy, Real-Time, General",7.6,Good
"Total War: Three Kingdoms - A World Betrayed",PC,19-03-2020,"Creative Assembly","Strategy, Real-Time, General",6.5,Good
"Total War: Three Kingdoms - Fates Divided",PC,11-03-2021,"Creative Assembly","Strategy, Real-Time, General",7,Good
"Total War: Three Kingdoms - Mandate of Heaven",PC,16-01-2020,"Creative Assembly","Strategy, Real-Time, General",7,Good
"Total War: Three Kingdoms - The Furious Wild",PC,03-09-2020,"Creative Assembly","Strategy, Real-Time, General",7.7,Good
"Total War: WARHAMMER",PC,24-05-2016,"Creative Assembly","Strategy, Turn-Based, General",7.4,Good
"Total War: WARHAMMER - Bretonnia",PC,28-02-2017,"Creative Assembly","Strategy, Turn-Based, General",6.8,Good
"Total War: WARHAMMER - Norsca Race Pack",PC,10-08-2017,"Creative Assembly","Strategy, Turn-Based, General",7.7,Good
"Total War: WARHAMMER - Realm of the Wood Elves",PC,08-12-2016,"Creative Assembly","Strategy, Turn-Based, General",6.5,Good
"Total War: Warhammer - The King and the Warlord",PC,20-10-2016,"Creative Assembly","Strategy, Turn-Based, General",6.9,Good
"Total War: WARHAMMER II",PC,28-09-2017,"Creative Assembly","Strategy, Real-Time, Tactics",7.9,Good
"Total War: WARHAMMER II - Curse of the Vampire Coast",PC,08-11-2018,"Creative Assembly","Strategy, Real-Time, Tactics",7.5,Good
"Total War: WARHAMMER II - Mortal Empires",PC,26-10-2017,"Creative Assembly","Strategy, Real-Time, Tactics",7.7,Good
"Total War: WARHAMMER II - Rise of the Tomb Kings",PC,23-01-2018,"Creative Assembly","Strategy, Real-Time, Tactics",7.1,Good
"Total War: WARHAMMER II - The Silence & The Fury",PC,14-07-2021,"Creative Assembly","Strategy, Real-Time, Tactics",7.8,Good
"Total War: WARHAMMER III - Forge of the Chaos Dwarfs",PC,13-04-2023,"Creative Assembly","Strategy, Real-Time, Tactics",6.6,Good
"Two Point Campus",PC,09-08-2022,"Two Point Studios","Strategy, Management, Business / Tycoon",7.1,Good
"Two Point Campus",Switch,09-08-2022,"Two Point Studios","Strategy, Management, Business / Tycoon",6.4,Good
"Two Point Hospital",PC,29-08-2018,"Two Point Studios","Simulation, Strategy, Management, Virtual, Career, Business / Tycoon",7.5,Good
"Two Point Hospital",PS4,25-02-2020,"Two Point Studios","Simulation, Strategy, Management, Virtual, Career, Business / Tycoon",7.3,Good
