title,user_score
"Sega Ages: Shinobi",8.5
Judgment,8.5
"Citizens of Space",8.5
"Total War: WARHAMMER II - The Queen & the Crone",8.5
"Sonic Mania",8.5
"Yakuza 5",8.5
"Alien: Isolation",8.5
"Sonic & All-Stars Racing Transformed",8.5
"Total War: Shogun 2 - Fall of the Samurai",8.5
"Sonic CD",8.5
"Sonic the Hedgehog 2",8.5
"Landstalker: The Treasures of King Nole",8.5
"Empire: Total War - Gold Edition",8.5
Ristar,8.5
"SEGA Mega Drive and Genesis Classics",8.5
"Sonic & Sega All-Stars Racing",8.5
"Golden Axe",8.5
"Phantasy Star IV",8.5
"Sonic Unleashed",8.5
"Universe at War: Earth Assault",8.5
"Universe at War: Earth Assault",8.5
"Sonic the Hedgehog 2",8.5
"Dynamite Headdy",8.5
"Sonic the Hedgehog",8.5
"Sonic the Hedgehog 2",8.5
"Sonic the Hedgehog",8.5
"Sega Genesis Collection",8.5
"OutRun 2006: Coast 2 Coast",8.5
"Phantasy Star Online Episode I & II Plus",8.5
"ESPN College Hoops",8.5
"Billy Hatcher and the Giant Egg",8.5
"ESPN NFL Football",8.5
"Sonic Mega Collection",8.5
"Phantasy Star Online Episode I & II",8.5
"Sonic Adventure 2 Battle",8.5
"NCAA College Football 2K2",8.5
"Sonic Adventure 2",8.5
Seaman,8.5
"Sonic CD",8.5
"The Murder of Sonic the Hedgehog",8.6
"Bayonetta Origins: Cereza and the Lost Demon",8.6
"Persona 4 Golden",8.6
"Sonic Frontiers",8.6
"Hatsune Miku: Project Diva MegaMix",8.6
"Alien: Isolation",8.6
"Yakuza 0",8.6
"Sonic Mania",8.6
"Yakuza 0",8.6
"Sonic Adventure 2: Battle Mode",8.6
"Golden Axe III",8.6
"Phantasy Star IV: The End of the Millennium",8.6
"Wonder Boy III: The Dragon's Trap",8.6
MadWorld,8.6
"The House of the Dead: Overkill",8.6
"Medieval II Total War: Gold Edition",8.6
"NiGHTS: Journey of Dreams",8.6
"Sonic the Hedgehog 3",8.6
"Streets of Rage 2",8.6
"Shining Force",8.6
"Sonic Mega Collection Plus",8.6
"ESPN NFL 2K5",8.6
"World Series Baseball 2K3",8.6
"Skies of Arcadia Legends",8.6
"Bomberman Online",8.6
"Phantasy Star Online Ver. 2",8.6
"Sonic CD",8.6
"Like a Dragon: Ishin!",8.7
"Sonic Mania Plus",8.7
"Sega Vintage Collection: Streets of Rage",8.7
"Shining Force II",8.7
"After Burner Climax",8.7
Shinobi,8.7
"Football Manager 2010",8.7
"Valkyria Chronicles",8.7
"Yakuza 2",8.7
"OutRun 2006: Coast 2 Coast",8.7
"Spartan: Total Warrior",8.7
"Astro Boy: Omega Factor",8.7
"ESPN Major League Baseball",8.7
"Virtua Fighter 4: Evolution",8.7
"Metropolis Street Racer",8.7
"Sonic Origins Plus",8.8
"Persona 4 Golden",8.8
"Puyo Puyo Tetris 2",8.8
"Sonic 3 & Knuckles",8.8
"Sonic & Knuckles",8.8
"The Revenge of Shinobi",8.8
"Sonic the Hedgehog 3",8.8
"Medieval II: Total War Kingdoms",8.8
"Gunstar Heroes",8.8
"Spartan: Total Warrior",8.8
"Phantasy Star Online: Blue Burst",8.8
"Daytona USA Deluxe",8.8
"Like a Dragon: Ishin!",8.9
"13 Sentinels: Aegis Rim",8.9
"Persona 4 Golden",8.9
"Utawarerumono: Mask of Deception",8.9
"Streets of Rage 2",8.9
"Medieval II: Total War",8.9
"Skies of Arcadia",8.9
Vanquish,9
"Persona 4 Golden",9.4
"Bayonetta & Vanquish",9.5
"Bayonetta & Vanquish",9.5
Vanquish,9.5
Vanquish,9.5
Vanquish,9.6
Vanquish,9.6
